,pH,TDS,Temperature,Turbidity,Sugar %,Citric %,Ascorbic %
pH,1.0,-0.3528031908707451,0.004508641148908078,-0.6998996859204724,0.14326020052507285,0.5092322648356745,-0.6955598879217862
TDS,-0.3528031908707451,1.0,0.039100879915957315,0.35625208157837895,0.2355884328488131,-0.5275320791422915,0.1754811026230465
Temperature,0.004508641148908078,0.039100879915957315,1.0,-0.02665538256106922,-0.0015214736938310898,-0.010063126034694975,-0.030132414218137303
Turbidity,-0.6998996859204724,0.35625208157837895,-0.02665538256106922,1.0,-0.2622571769599561,-0.607086869093725,0.6919099052445782
Sugar %,0.14326020052507285,0.2355884328488131,-0.0015214736938310898,-0.2622571769599561,1.0,0.580414837528646,-0.3250391670540385
Citric %,0.5092322648356745,-0.5275320791422915,-0.010063126034694975,-0.607086869093725,0.580414837528646,1.0,-0.5327604331979205
Ascorbic %,-0.6955598879217862,0.1754811026230465,-0.030132414218137303,0.6919099052445782,-0.3250391670540385,-0.5327604331979205,1.0
